GeoFIPS,GeoName,LineCode,Description,2024
00000,United States,1,RPPs: All items,100
00000,United States,2,  RPPs: Goods,99.567
00000,United States,3,  RPPs: Services: Housing,100.629
00000,United States,4,  RPPs: Services: Utilities,98.441
00000,United States,5,  RPPs: Services: Other,100.147
00999,United States (Nonmetropolitan Portion) *,1,RPPs: All items,88.699
00999,United States (Nonmetropolitan Portion) *,2,  RPPs: Goods,96.063
00999,United States (Nonmetropolitan Portion) *,3,  RPPs: Services: Housing,59.852
00999,United States (Nonmetropolitan Portion) *,4,  RPPs: Services: Utilities,88.296
00999,United States (Nonmetropolitan Portion) *,5,  RPPs: Services: Other,97.599
10180,"Abilene, TX (Metropolitan Statistical Area)",1,RPPs: All items,90.364
10180,"Abilene, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,93.757
10180,"Abilene, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,73.791
10180,"Abilene, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,81.162
10180,"Abilene, TX (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.24
10420,"Akron, OH (Metropolitan Statistical Area)",1,RPPs: All items,93.37
10420,"Akron, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,93.628
10420,"Akron, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,76.785
10420,"Akron, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,96.448
10420,"Akron, OH (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.939
10500,"Albany, GA (Metropolitan Statistical Area)",1,RPPs: All items,87.669
10500,"Albany, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.269
10500,"Albany, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,54.626
10500,"Albany, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,88.272
10500,"Albany, GA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.667
10540,"Albany, OR (Metropolitan Statistical Area)",1,RPPs: All items,102.1
10540,"Albany, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,105.261
10540,"Albany, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,101.059
10540,"Albany, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,104.816
10540,"Albany, OR (Metropolitan Statistical Area)",5,  RPPs: Services: Other,100.298
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,RPPs: All items,99.566
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,99.693
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,102.582
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,134.048
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",5,  RPPs: Services: Other,97.754
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,RPPs: All items,95.546
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,  RPPs: Goods,96.144
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,89.153
10740,"Albuquerque, NM (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,77.852
10740,"Albuquerque, NM (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.54
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,RPPs: All items,85.686
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,93.691
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,53.684
10780,"Alexandria, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,71.076
10780,"Alexandria, LA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,95.705
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,RPPs: All items,99.968
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,100.569
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,105.52
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,107.591
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",5,  RPPs: Services: Other,97.752
11020,"Altoona, PA (Metropolitan Statistical Area)",1,RPPs: All items,89.507
11020,"Altoona, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,100.684
11020,"Altoona, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,54.978
11020,"Altoona, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,107.673
11020,"Altoona, PA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,97.726
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,RPPs: All items,91.82
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,93.757
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,78.38
11100,"Amarillo, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,83.474
11100,"Amarillo, TX (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.24
11180,"Ames, IA (Metropolitan Statistical Area)",1,RPPs: All items,88.83
11180,"Ames, IA (Metropolitan Statistical Area)",2,  RPPs: Goods,93.73
11180,"Ames, IA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,69.163
11180,"Ames, IA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,83.004
11180,"Ames, IA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,92.927
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",1,RPPs: All items,100.243
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.015
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,97.537
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,155.733
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,101.197
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,RPPs: All items,105.42
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,  RPPs: Goods,107.34
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,109.905
11260,"Anchorage, AK (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,111.772
11260,"Anchorage, AK (Metropolitan Statistical Area)",5,  RPPs: Services: Other,103.342
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,RPPs: All items,100.88
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,93.711
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,125.3
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,98.184
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.561
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,RPPs: All items,85.949
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,96.397
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,54.705
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,87.127
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.693
11540,"Appleton, WI (Metropolitan Statistical Area)",1,RPPs: All items,92.419
11540,"Appleton, WI (Metropolitan Statistical Area)",2,  RPPs: Goods,93.787
11540,"Appleton, WI (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,70.785
11540,"Appleton, WI (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,90.588
11540,"Appleton, WI (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.411
11700,"Asheville, NC (Metropolitan Statistical Area)",1,RPPs: All items,96.506
11700,"Asheville, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,96.621
11700,"Asheville, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,93.371
11700,"Asheville, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,88.63
11700,"Asheville, NC (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.186
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,RPPs: All items,93.343
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.269
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,76.759
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,89.257
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.667
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1,RPPs: All items,100.058
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,100.416
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,111.022
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,96.239
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.701
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,RPPs: All items,98.857
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,99.79
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,98.673
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,109.204
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",5,  RPPs: Services: Other,97.925
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,RPPs: All items,87.933
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,96.397
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,62.078
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,83.889
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.693
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,RPPs: All items,91.903
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,  RPPs: Goods,96.293
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,70.603
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,89.473
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.54
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",1,RPPs: All items,98.066
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,93.757
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,120.361
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,82.044
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.24
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",1,RPPs: All items,100.886
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",2,  RPPs: Goods,105.168
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,90.291
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,158.257
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,100.267
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,RPPs: All items,104.487
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,  RPPs: Goods,102.353
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,118.194
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,110.215
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",5,  RPPs: Services: Other,101.496
12620,"Bangor, ME (Metropolitan Statistical Area)",1,RPPs: All items,96.508
12620,"Bangor, ME (Metropolitan Statistical Area)",2,  RPPs: Goods,97.171
12620,"Bangor, ME (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,77.688
12620,"Bangor, ME (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,134.759
12620,"Bangor, ME (Metropolitan Statistical Area)",5,  RPPs: Services: Other,103.191
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,RPPs: All items,98.351
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.015
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,90.012
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,158.45
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,101.197
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,RPPs: All items,90.78
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,93.691
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,74.183
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,71.185
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,95.705
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,RPPs: All items,90.541
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,93.711
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,61.045
12980,"Battle Creek, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,95.003
12980,"Battle Creek, MI (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.561
13020,"Bay City, MI (Metropolitan Statistical Area)",1,RPPs: All items,91.921
13020,"Bay City, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,93.711
13020,"Bay City, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,66.684
13020,"Bay City, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,95.219
13020,"Bay City, MI (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.561
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,RPPs: All items,90.046
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,93.757
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,70.939
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,83.098
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.24
13220,"Beckley, WV (Metropolitan Statistical Area)",1,RPPs: All items,88.369
13220,"Beckley, WV (Metropolitan Statistical Area)",2,  RPPs: Goods,96.27
13220,"Beckley, WV (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,52.246
13220,"Beckley, WV (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,91.774
13220,"Beckley, WV (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.806
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,RPPs: All items,103.334
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,  RPPs: Goods,105.028
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,112.946
13380,"Bellingham, WA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,99.878
13380,"Bellingham, WA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.472
13460,"Bend, OR (Metropolitan Statistical Area)",1,RPPs: All items,103.607
13460,"Bend, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,105.261
13460,"Bend, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,109.958
13460,"Bend, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,104.992
13460,"Bend, OR (Metropolitan Statistical Area)",5,  RPPs: Services: Other,100.298
13740,"Billings, MT (Metropolitan Statistical Area)",1,RPPs: All items,93.526
13740,"Billings, MT (Metropolitan Statistical Area)",2,  RPPs: Goods,96.006
13740,"Billings, MT (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,77.364
13740,"Billings, MT (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,72.437
13740,"Billings, MT (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.715
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,RPPs: All items,92.863
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,99.693
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,69.694
13780,"Binghamton, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,131.567
13780,"Binghamton, NY (Metropolitan Statistical Area)",5,  RPPs: Services: Other,97.754
13820,"Birmingham, AL (Metropolitan Statistical Area)",1,RPPs: All items,91.644
13820,"Birmingham, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,96.397
13820,"Birmingham, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,71.851
13820,"Birmingham, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,83.803
13820,"Birmingham, AL (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.693
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,RPPs: All items,91.024
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,  RPPs: Goods,95.701
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,84.013
13900,"Bismarck, ND (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,74.999
13900,"Bismarck, ND (Metropolitan Statistical Area)",5,  RPPs: Services: Other,91.158
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",1,RPPs: All items,92.71
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.773
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,74.371
