,,,,Monthly,,,,,,,,Annual,,,,,,,,Rankings,,,,
case_id,State abv.,Areaname,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,median_family_income,top100,top100_cost_rank,top100_med_aff_rank,top100_med_faminc_rank
3144,TX,"Abilene, TX MSA",1p0c,944,323,1058,561,393,0,606,3885,11328,3877,12691,6730,4721,0,7277,46623,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",1p1c,1207,474,1270,882,522,578,641,5574,14484,5685,15240,10587,6262,6935,7693,66887,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",1p2c,1207,699,1387,1204,592,1125,760,6973,14484,8384,16647,14444,7100,13505,9114,83678,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",1p3c,1571,931,1535,1525,777,1294,1111,8744,18852,11171,18421,18301,9321,15527,13330,104923,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",1p4c,1571,1140,1597,1600,842,1294,1295,9339,18852,13677,19166,19205,10099,15527,15539,112066,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",2p0c,950,592,1221,1122,479,0,676,5040,11400,7108,14656,13460,5746,0,8108,60479,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",2p1c,1207,735,1333,1443,603,578,778,6677,14484,8819,15997,17317,7235,6935,9338,80125,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",2p2c,1207,935,1477,1765,665,1125,817,7990,14484,11215,17719,21174,7979,13505,9807,95883,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",2p3c,1571,1140,1536,2086,842,1294,995,9463,18852,13682,18426,25031,10101,15527,11943,113561,81872.07127,0,,,
3144,TX,"Abilene, TX MSA",2p4c,1571,1396,1583,2161,921,1294,1149,10075,18852,16747,18997,25935,11052,15527,13784,120894,81872.07127,0,,,
3145,OH,"Akron, OH MSA",1p0c,799,374,1006,442,364,0,612,3597,9588,4492,12069,5300,4372,0,7344,43164,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",1p1c,1131,549,1238,691,522,1176,924,6231,13572,6587,14854,8297,6259,14113,11092,74775,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",1p2c,1131,810,1423,941,603,1937,1292,8135,13572,9714,17071,11294,7230,23238,15499,97618,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",1p3c,1398,1079,1511,1191,769,2171,1694,9812,16776,12944,18135,14291,9227,26046,20326,117746,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",1p4c,1398,1321,1574,1256,844,2171,1927,10490,16776,15848,18890,15067,10129,26046,23126,125883,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",2p0c,880,686,1193,883,486,0,722,4851,10560,8236,14319,10600,5836,0,8659,58209,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",2p1c,1131,852,1372,1133,616,1176,1068,7348,13572,10219,16467,13597,7386,14113,12817,88172,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",2p2c,1131,1083,1457,1383,687,1937,1220,8898,13572,12995,17480,16594,8248,23238,14642,106771,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",2p3c,1398,1321,1516,1633,844,2171,1481,10364,16776,15853,18196,19591,10130,26046,17770,124364,93193.34254,1,70,49,69
3145,OH,"Akron, OH MSA",2p4c,1398,1617,1564,1697,936,2171,1702,11085,16776,19404,18770,20368,11233,26046,20424,133020,93193.34254,1,70,49,69
3146,GA,"Albany, GA MSA",1p0c,926,340,1050,446,393,0,790,3944,11112,4077,12596,5350,4716,0,9478,47328,67308.38962,0,,,
3146,GA,"Albany, GA MSA",1p1c,1080,498,1255,698,490,621,850,5493,12960,5978,15057,8380,5880,7452,10203,65910,67308.38962,0,,,
3146,GA,"Albany, GA MSA",1p2c,1080,735,1374,951,563,961,919,6582,12960,8815,16484,11411,6761,11526,11029,78986,67308.38962,0,,,
3146,GA,"Albany, GA MSA",1p3c,1461,979,1461,1203,758,1065,1287,8214,17532,11747,17532,14441,9090,12780,15440,98562,67308.38962,0,,,
3146,GA,"Albany, GA MSA",1p4c,1461,1199,1525,1270,826,1065,1496,8841,17532,14382,18300,15244,9908,12780,17949,106095,67308.38962,0,,,
3146,GA,"Albany, GA MSA",2p0c,952,623,1203,892,489,0,872,5030,11424,7474,14441,10699,5867,0,10458,60364,67308.38962,0,,,
3146,GA,"Albany, GA MSA",2p1c,1080,773,1316,1144,575,621,995,6505,12960,9273,15796,13730,6903,7452,11942,78056,67308.38962,0,,,
3146,GA,"Albany, GA MSA",2p2c,1080,983,1399,1397,640,961,982,7441,12960,11793,16786,16760,7685,11526,11786,89296,67308.38962,0,,,
3146,GA,"Albany, GA MSA",2p3c,1461,1199,1459,1649,826,1065,1167,8826,17532,14387,17510,19791,9910,12780,14004,105913,67308.38962,0,,,
3146,GA,"Albany, GA MSA",2p4c,1461,1467,1577,1716,909,1065,1391,9587,17532,17609,18923,20594,10910,12780,16689,115038,67308.38962,0,,,
3147,OR,"Albany, OR MSA",1p0c,1000,352,1114,513,420,0,1001,4400,12000,4223,13371,6152,5037,0,12012,52795,87508,0,,,
3147,OR,"Albany, OR MSA",1p1c,1459,516,1359,772,613,885,1483,7088,17508,6193,16308,9264,7358,10620,17798,85050,87508,0,,,
3147,OR,"Albany, OR MSA",1p2c,1459,761,1556,1031,689,1273,1796,8566,17508,9132,18668,12376,8271,15280,21556,102792,87508,0,,,
3147,OR,"Albany, OR MSA",1p3c,1957,1014,1653,1291,922,1393,2459,10690,23484,12169,19840,15488,11069,16714,29512,128277,87508,0,,,
3147,OR,"Albany, OR MSA",1p4c,1957,1242,1723,1340,993,1393,2699,11346,23484,14899,20678,16078,11917,16714,32385,136155,87508,0,,,
3147,OR,"Albany, OR MSA",2p0c,1203,645,1295,1025,574,0,1225,5967,14436,7743,15534,12305,6886,0,14698,71600,87508,0,,,
3147,OR,"Albany, OR MSA",2p1c,1459,801,1484,1285,702,885,1637,8252,17508,9607,17805,15417,8418,10620,19648,99024,87508,0,,,
3147,OR,"Albany, OR MSA",2p2c,1459,1018,1576,1544,769,1273,1755,9395,17508,12217,18909,18529,9229,15280,21063,112735,87508,0,,,
3147,OR,"Albany, OR MSA",2p3c,1957,1242,1641,1803,993,1393,2269,11298,23484,14904,19695,21641,11918,16714,27224,135580,87508,0,,,
3147,OR,"Albany, OR MSA",2p4c,1957,1520,1694,1853,1080,1393,2525,12021,23484,18242,20330,22231,12955,16714,30294,144250,87508,0,,,
3148,NY,"Albany-Schenectady-Troy, NY MSA",1p0c,1074,376,1066,585,450,0,924,4475,12888,4516,12794,7019,5403,0,11084,53704,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",1p1c,1487,552,1322,982,633,1280,1568,7825,17844,6622,15868,11788,7596,15364,18816,93898,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",1p2c,1487,814,1453,1022,714,2398,2133,10021,17844,9764,17437,12266,8572,28773,25596,120253,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",1p3c,1792,1084,1602,1062,893,2742,2668,11843,21504,13011,19227,12744,10716,32899,32018,142120,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",1p4c,1792,1328,1665,1102,969,2742,2941,12537,21504,15930,19983,13222,11622,32899,35288,150449,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",2p0c,1230,690,1275,1170,596,0,1111,6071,14760,8279,15297,14037,7153,0,13326,72852,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",2p1c,1487,856,1399,1644,727,1280,1592,8986,17844,10272,16791,19726,8729,15364,19101,107828,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",2p2c,1487,1089,1544,1684,800,2398,2073,11073,17844,13062,18526,20204,9596,28773,24876,132881,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",2p3c,1792,1328,1603,1724,969,2742,2458,12615,21504,15936,19241,20682,11624,32899,29495,151381,113719.3214,1,25,62,23
3148,NY,"Albany-Schenectady-Troy, NY MSA",2p4c,1792,1625,1650,1763,1061,2742,2733,13366,21504,19505,19801,21161,12732,32899,32790,160391,113719.3214,1,25,62,23
3149,NM,"Albuquerque, NM MSA",1p0c,913,341,986,445,389,0,683,3757,10956,4096,11828,5340,4673,0,8194,45087,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",1p1c,1331,501,1197,707,569,933,954,6191,15972,6006,14367,8482,6824,11192,11451,74294,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",1p2c,1331,738,1372,969,642,1698,1341,8091,15972,8857,16468,11625,7709,20373,16094,97097,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",1p3c,1865,984,1458,1231,884,1933,1950,10304,22380,11802,17490,14767,10613,23197,23399,123648,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",1p4c,1865,1204,1519,1306,953,1933,2170,10950,22380,14450,18222,15670,11435,23197,26042,131396,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",2p0c,1084,626,1155,890,531,0,774,5060,13008,7509,13859,10680,6370,0,9291,60718,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",2p1c,1331,776,1325,1152,654,933,1101,7272,15972,9317,15901,13823,7852,11192,13207,87263,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",2p2c,1331,987,1407,1414,720,1698,1251,8807,15972,11849,16878,16965,8638,20373,15012,105685,84246.3295,1,76,20,90
3149,NM,"Albuquerque, NM MSA",2p3c,1865,1205,1465,1676,953,1933,1693,10789,22380,14455,17575,20107,11436,23197,20313,129463,84246.3295,1,76,20,90
